Domain,Title,Content,File_Path
Film,1. Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Movie_Gothic_0.jpg
Film,2. Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Movie_Gothic_1.jpg
Film,3. Wuthering Heights,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",Movie_Gothic_2.jpg
Film,4. The Bride!,"In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.",Movie_Gothic_3.jpg
Film,5. Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",Movie_Gothic_4.jpg
Film,6. The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Movie_Gothic_5.jpg
Film,7. Se7en,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,Movie_Gothic_6.jpg
Film,8. Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Movie_Gothic_7.jpg
Film,9. Evil Dead Rise,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",Movie_Gothic_8.jpg
Film,10. The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Movie_Gothic_9.jpg
Film,11. Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",Movie_Gothic_10.jpg
Film,12. Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",Movie_Gothic_11.jpg
Film,13. Poor Things,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Movie_Gothic_12.jpg
Film,14. Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Movie_Gothic_13.jpg
Film,15. Planet of the Apes,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Movie_Gothic_14.jpg
Film,16. Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",Movie_Gothic_15.jpg
Film,17. Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Movie_Gothic_16.jpg
Film,18. Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Movie_Gothic_17.jpg
Film,19. The Devil's Advocate,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,Movie_Gothic_18.jpg
Film,20. The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.",Movie_Gothic_19.jpg
Film,21. Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Movie_Gothic_20.jpg
Film,22. The VVitch: A New-England Folktale,An isolated Puritan family in 1630s New England comes unraveled by the forces of witchcraft and possession.,Movie_Gothic_21.jpg
Film,23. The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Movie_Gothic_22.jpg
Film,24. The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,Movie_Gothic_23.jpg
Film,25. Annihilation,"A biologist signs up for a dangerous, secret expedition in which the laws of nature don't apply.",Movie_Gothic_24.jpg
Film,26. Suspect Zero,A mysterious serial killer is preying on other serial killers and one FBI agent suspects there may be more to the vigilante than the obvious characteristics.,Movie_Gothic_25.jpg
Film,27. Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,Movie_Gothic_26.jpg
Film,28. Clayface,"A shape-shifting creature made of magical clay haunts Gotham City, alternating between villain and ally of Batman. Multiple tragic figures have taken on the Clayface mantle over the years.",Movie_Gothic_27.jpg
Film,29. Resident Evil,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",Movie_Gothic_28.jpg
Film,30. The Others,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",Movie_Gothic_29.jpg
Film,31. In Bruges,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Movie_Gothic_30.jpg
Film,32. Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,Movie_Gothic_31.jpg
Film,33. Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Movie_Gothic_32.jpg
Film,34. Saw,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other, escape or face the consequences. These two are the latest contestants in Jigsaw's games.",Movie_Gothic_33.jpg
Film,35. Constantine,"Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human world.",Movie_Gothic_34.jpg
Film,36. The Girl with the Dragon Tattoo,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by hacker Lisbeth Salander.,Movie_Gothic_35.jpg
Film,37. Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Movie_Gothic_36.jpg
Film,38. Highlander,"An immortal Scottish swordsman must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize"".",Movie_Gothic_37.jpg
Film,39. Silent Hill,"Rose Da Silva takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears and Rose begins a horrific journey to get her back.",Movie_Gothic_38.jpg
